"These are the DSM elements we have time series for from CalLite-CV (that's the full name, there's a completely separate model called CalLite naturally). I used the names from your Google Doc (https://docs.google.com/spreadsheets/d/1FpO5moi003WxAz0-RqLlGkueru8lzsOtWV94rKkpzsc). The dates are the CalLite-CV dates: October 2014 in CalLite-CV corresponds to October 1925 in CalSim II in terms of model calibration, for reference. These results are the Outflow elements of each site listed on the Google Doc as of 1 PM 100417 (I saved those matches in another csv called 'matches for master csv.csv'. I left the Delta out of this for now... POTENTIAL PROBLEM: I'm noticing many 0-outflow months for NewHogan which is our Calaveras number. It's possible we could use the Calaveras_River node to get around this, even though it's below the anadromy limit; I think it's only got a 0 in the first month of the model run.",,,,,,,,,,,,,,
date,Upper Sacramento River,Clear Creek,Upper-mid Sacramento River,Feather River,Yuba River,Lower-mid Sacramento River,Yolo Bypass,American River,Lower Sacramento River,Calaveras River,Merced River,Stanislaus River,Tuolumne River,San Joaquin River
12/1/2016 0:00,3250,200,6147.185547,5797.365234,1284.318726,19965.70508,61.0779686,1616.386475,21933.70313,60.10468292,488.9124756,302.3435059,1666.993286,2852.883789
1/1/2017 0:00,3250,200,5669.660645,5794.885742,1328.52002,17592.33398,123.1217422,1354.527832,19206.37891,0,791.5654907,323.4897156,1743.848022,3258.160156
2/1/2017 0:00,3250,200,5507.339844,5795.760254,1683.457275,18228.70703,132.8907013,1134.336548,19661.83203,0,552.9987183,329.7319336,1725.025391,3468.614258
3/1/2017 0:00,12588.08887,200,17732.83008,5795.155762,6116.939941,39027.22266,1926.696289,7324.653809,47157.57422,21.34769058,513.3734131,315.5091248,4889.840332,7037.91748
4/1/2017 0:00,5901.53418,200,8647.289063,1790.314697,2626.989014,17235.88867,343.6686096,1662.756714,18985.96289,30.34991074,157.5075684,1102.447876,1140.366089,6282.098633
5/1/2017 0:00,13456.78711,277.419342,13883.06348,4384.913086,2075.931396,17355.44531,364.6444092,3934.808105,19758.62891,118.8932953,184.9887238,1101.566895,705.7360229,3614.027588
6/1/2017 0:00,15330.39551,200,14794.83105,4836.799316,1500,15096.03516,849.1293335,2858.783447,15436.2002,127.8029709,169.2479858,1227.217773,218.9680023,2062.816895
7/1/2017 0:00,17955.27539,85,17696.04883,5036.382324,700,18882.32422,1023.539673,1852.011108,18333.81836,137.8346405,147.0922699,407.0699768,224.9940491,1540.19519
8/1/2017 0:00,9770.639648,85,9631.175781,1973.735229,600,8900.299805,1258.875244,1719.14624,9008.612305,112.0932922,128.2174835,435.5533142,280.6566162,2047.241577
9/1/2017 0:00,5281.714844,150,5626.359375,1000,500,7121.12793,1173.92334,1297.555054,7988.327148,64.68466949,129.8063507,406.0274048,305.5484924,2386.94458
10/1/2017 0:00,6320.256348,200,6757.680664,1494.17981,628.3572998,8049.500977,569.3978271,941.5078125,8931.566406,18.14557076,235.5988159,739.277832,331.1268005,1834.960205
11/1/2017 0:00,3250,200,4774.508301,1581.938965,657.6657715,12610.13184,362.5541687,977.416687,13928.0957,384.5854187,167.9700775,302.5654907,376.7992859,2774.812744
12/1/2017 0:00,3250,200,4683.547363,1700,704.2263184,10409.72559,63.16967773,985.2848511,11734.15723,22.55618095,150.0609131,445.7357178,353.4815063,1435.822021
1/1/2018 0:00,3250,200,4943.645996,1700,718.97052,9569.536133,63.07202148,811.2282715,10503.26953,0,152.1152954,557.7093506,321.6642761,1337.818848
2/1/2018 0:00,3250,200,4868.138184,1700,1017.005615,12150.99414,120.4219666,667.7718506,13099.45117,0,154.0717926,1188.475586,337.4599609,2167.357178
3/1/2018 0:00,4643.048828,200,5992.634277,1700,1547.452637,11347.01172,67.6010437,664.4940186,11875.03125,0,202.305191,469.7256165,299.6009521,2174.507813
4/1/2018 0:00,5868.233887,200,7077.310059,1109.883301,1672.740234,11270.68555,240.6564331,642.9168701,11130.98828,65.65509033,144.4094086,1078.917358,531.887207,3605.384766
5/1/2018 0:00,7056.083984,237.0967712,7634.255859,1000,2000,7578.307129,571.407959,684.0392456,6802.225098,119.0561371,166.9665222,1094.568481,512.0463867,2622.213867
6/1/2018 0:00,13600.75293,150,13767.11914,1760.157837,1500,11389.78125,661.7451782,3212.922607,12103.90918,125.8911667,159.0501251,1191.781494,167.1939087,2230.875244
7/1/2018 0:00,11673.9209,85,11840.75293,1943.2677,700,9189.839844,905.1295776,2062.638916,9219.237305,137.7166138,123.4155807,568.3567505,151.482254,1275.332031
8/1/2018 0:00,9437.554688,85,9579.000977,1468.353149,600,7671.986328,1023.347839,991.3057861,6863.98877,112.0937576,102.0755234,421.375885,205.8459015,1918.120117
9/1/2018 0:00,5298.121582,150,5719.912109,1494.568604,500,7500.220703,1050.461792,840.0219116,7470.748535,64.68260956,94.6252594,362.6440125,201.5821686,1883.966187
10/1/2018 0:00,6446.192383,150,6861.626465,1493.859131,566.8812256,8284.578125,740.7363892,1016.156982,8747.259766,18.1474781,230.8328857,723.0712891,262.9567871,1534.082642
11/1/2018 0:00,6143.980957,150,6586.645508,1514.025635,770.6364746,8723.634766,459.4653015,723.3814087,9312.833984,3.427869797,144.2255707,261.5230408,235.9235687,1297.255859
12/1/2018 0:00,3250,150,6035.618652,1599.089233,763.5456543,16272.20508,811.6889038,575.0053711,17344.42969,0,140.233551,309.1819458,358.5692749,1109.181396
1/1/2019 0:00,3250,200,7547.717285,1700,2051.880127,18747.61133,147.7397766,582.5408936,19972.88477,0,151.2318726,372.2931519,357.6855774,1123.206055
2/1/2019 0:00,3250,150,7787.645996,1700,2339.789307,20458.44922,115.5910339,4434.361816,25379.37109,0,151.5554047,1248.897705,303.4510193,2159.702637
3/1/2019 0:00,3250,150,6070.505859,1700,2322.137207,16507.66406,1101.316895,3960.905762,20796.24805,0,201.6581268,295.3511658,332.0267029,2235.446289
4/1/2019 0:00,3680.839844,150,5229.429199,1000,2056.544189,10373.80957,163.6530151,2467.723145,12637.9873,42.37837601,133.2565613,770.000061,558.295166,3443.904785
5/1/2019 0:00,8324.987305,237.0967865,9307.010742,3315.062256,2000,12483.27344,282.8948975,2292.133545,13229.2041,118.7399673,167.645462,793.9644775,509.5093079,2394.306396
6/1/2019 0:00,12264.58203,150,12387.84277,2948.675293,1745.545654,10099.48242,721.6223145,4788.672852,12099.60156,127.776947,145.8217926,1150.91687,161.9829559,1864.223267
7/1/2019 0:00,11321.93652,85,11544.67773,6961.104004,700,14144.91992,916.9957275,2408.007813,14453.3418,137.8360291,131.8978729,557.8027954,170.6708527,1628.325195
8/1/2019 0:00,8160.839355,85,8350.041016,2370.440186,600,8284.942383,1121.069336,2313.435547,8421.824219,112.0913849,91.12019348,406.3825684,192.5222778,1636.302246
9/1/2019 0:00,4618.084961,150,5095.790527,1000,501.9352112,6445.786133,1208.910034,1227.477661,7588.941895,58.21235275,88.02113342,360.1040344,194.0432587,1910.887573
10/1/2019 0:00,4633.228027,150,4966.427246,8024.132324,500,12714.96191,233.7564697,541.1893921,12383.33887,16.87512398,229.8349609,643.9797363,240.2358246,1407.869385
11/1/2019 0:00,3341.70874,150,3876.649658,7054.125488,662.5038452,12100.39258,533.4923706,536.3306885,12569.82617,0,147.5840912,281.0617371,271.0282898,1586.564087
12/1/2019 0:00,3250,150,3741.849121,1510.743408,671.7201538,6319.147461,162.7420349,538.6734009,6647.211914,3.183732033,137.2345123,520.6615601,247.1019897,1124.2854
1/1/2020 0:00,3250,150,5078.520996,1601.056885,743.5787964,14451.59082,108.1819839,561.9237671,15378.33496,0,154.0442963,496.5030212,343.2718506,1318.296387
2/1/2020 0:00,3250,150,4475.869141,7202.164063,1124.93396,15784.21289,73.85359192,566.6046753,16541.14844,0,149.4561462,658.8429565,268.8828735,1290.526733
3/1/2020 0:00,3512.777344,150,4600.169434,1545.762085,1718.484619,9136.042969,116.0139389,556.5215454,9600.75,33.06994629,196.6142273,399.4944458,244.5749664,1593.208374
4/1/2020 0:00,5201.882324,150,5859.077148,1534.39624,1702.901123,10114.29785,208.0227814,641.2284546,9947.513672,109.1731873,119.0259628,1358.33728,321.1002808,2904.98999
5/1/2020 0:00,6199.32959,156.4516144,7061.01709,1873.955444,688.6586914,8074.023926,573.9696045,869.3251343,7485.879883,138.2946167,161.476593,742.7664795,327.186554,1531.47168
6/1/2020 0:00,7758.455078,50,8126.481445,1724.928223,400,7640.263672,740.1160889,3082.498291,8586.386719,148.7326965,122.5149155,782.7463989,153.6010284,1441.756348
7/1/2020 0:00,12491.15332,85,12572.0752,1465.207153,400,10415.27148,809.1052856,1552.331909,9500.810547,156.1094055,63.34803772,836.7144165,143.7436676,1437.888428
8/1/2020 0:00,9027.554688,85,9363.28418,1478.501343,400,8900.681641,1230.040649,61.20141602,7367.761719,140.9573364,81.22542572,300.4521484,168.8239746,1729.250244
9/1/2020 0:00,3658.935303,150,4155.776367,1495.216919,445.9979553,6704.860352,1121.797363,419.4461365,6647.510254,100.9366913,71.42890167,293.9390259,164.9810333,1571.055786
10/1/2020 0:00,6856.722168,150,7183.885742,1492.868286,476.7500305,8227.001953,428.6216431,544.7443848,8495.68457,29.00021553,235.7240906,642.7575684,220.2810974,1654.983643
11/1/2020 0:00,3769.550049,150,4488.515137,1424.516968,604.2017822,7567.319824,250.9089508,1233.792725,8837.936523,0,134.5252228,250.8414154,251.5011139,1848.745239
12/1/2020 0:00,3250,150,6512.904785,900,1075.610107,17040.64063,1470.501221,500,18701.68164,0,163.1376343,320.3167419,514.9730225,2565.777344
1/1/2021 0:00,3250,150,7350.703613,900,2029.129395,16815.22656,82.38490295,1394.619629,18662.32031,259.5332947,141.1667786,449.6230774,294.5217285,1967.12085
2/1/2021 0:00,3250,30.00000191,5471.358887,900,2365.919434,12472.24414,122.8857269,4766.367676,17792.24023,272.1387329,140.8866577,1186.719238,325.7467041,3306.590576
3/1/2021 0:00,3250,50,4621.772461,750,4245.891602,11205.92676,71.61144257,6314.6875,17501.14844,0,198.9061432,273.1293945,268.6918335,3709.054199
4/1/2021 0:00,3431.581299,50,4614.922363,1345.748779,1678.516479,9378.166016,180.8963013,4410.821777,13175.0918,83.84835052,124.8343353,757.3486938,1178.459839,5696.192383
5/1/2021 0:00,6060.797363,156.4516144,6879.04834,750,2581.587646,8339.777344,404.9839783,4809.623535,12201.67773,97.52682495,184.9644012,741.156189,1104.715698,4324.608887
6/1/2021 0:00,11722.05664,50,11690.51172,4072.746582,3371.487305,12988.48438,479.8302307,4839.762695,15264.24316,158.177597,163.7825317,347.440155,360.4891663,3137.432373
7/1/2021 0:00,11198.57422,85,11385.54883,3054.61499,588.6167603,9992.982422,850.1184082,2651.174316,10239.14258,170.6925507,141.620163,1007.232666,361.6277466,2158.915527
8/1/2021 0:00,5286.210449,85,6010.965332,3676.454346,500,8935.720703,1172.465942,1520.357666,8842.545898,151.4410706,95.38056183,395.4322205,388.453125,1761.460693
9/1/2021 0:00,4057.007813,150,4743.644043,2558.766846,500,7919.803223,967.1748047,1503.753418,8678.553711,106.5641861,100.5355835,353.9693909,414.9271545,2252.736328
10/1/2021 0:00,3401.648438,50,3846.696289,4162.064941,621.3780518,8860.954102,696.0554199,535.2733154,8852.304688,26.41176224,245.8946228,654.3709106,506.4079285,2005.681519
11/1/2021 0:00,3687.028564,100,4180.878906,3667.185547,500,7646.826172,416.099762,544.1113892,7935.253418,3.636585236,136.6811218,268.6584473,404.1903992,1277.40332
12/1/2021 0:00,3250,100,4065.586914,3668.372803,622.4187012,10893.3584,202.1493225,613.1514282,11574.08105,0,141.2033539,444.1060791,432.2235107,1314.167603
1/1/2022 0:00,3250,50,4784.554199,1505.599854,676.6949463,10726.37109,106.7075958,536.4223633,11619.8252,0,157.0643463,424.5417175,493.1224365,1572.174927
2/1/2022 0:00,3250,50,4565.459961,1484.55249,830.1417847,8917.526367,84.57209015,545.2842407,9585.808594,0,151.4494781,587.4304199,424.1105347,1658.094727
3/1/2022 0:00,3250,30.00000191,5812.650391,3663.588867,1760.748901,14081.73828,71.95566559,546.5636597,14567.93848,0.732666254,199.8790588,457.9046326,403.2250977,2205.217041
4/1/2022 0:00,6157.638184,50,7192.416504,2198.860596,1419.042969,10490.06543,138.5386963,1677.933472,11736.66309,65.99588776,139.0161743,1094.031494,606.6922607,3598.265869
5/1/2022 0:00,7537.045898,156.4516602,8348.105469,2302.463135,1000,10426.24023,289.7417908,2031.292358,10863.63672,131.3163605,170.1993713,725.2678833,564.4196777,1880.753662
