A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
898,31Jul1996,18626,9610
899,31Aug1996,15051,9105
900,30Sep1996,6756,7824
901,31Oct1996,4063,6437
902,30Nov1996,2835,6665
903,31Dec1996,1537,4167
904,31Jan1997,1586,1264
905,28Feb1997,2647,1432
906,31Mar1997,3141,1915
907,30Apr1997,6957,5220
908,31May1997,12302,5796
909,30Jun1997,15684,8128
910,31Jul1997,17858,8422
911,31Aug1997,13826,7678
912,30Sep1997,6367,6560
913,31Oct1997,4058,6068
914,30Nov1997,2579,5529
915,31Dec1997,1653,4461
916,31Jan1998,1530,490
917,28Feb1998,2563,1455
918,31Mar1998,2909,2265
919,30Apr1998,5816,4306
920,31May1998,9169,5113
921,30Jun1998,16802,9812
922,31Jul1998,19195,10050
923,31Aug1998,15444,9587
924,30Sep1998,6844,8059
925,31Oct1998,4348,7157
926,30Nov1998,2827,6786
927,31Dec1998,1840,4786
928,31Jan1999,1663,1653
929,28Feb1999,2731,1001
930,31Mar1999,2572,2259
931,30Apr1999,5796,4841
932,31May1999,12470,6113
933,30Jun1999,15716,8687
934,31Jul1999,17837,8940
935,31Aug1999,13928,8534
936,30Sep1999,6537,7368
937,31Oct1999,4327,6794
938,30Nov1999,2783,6406
939,31Dec1999,1800,4614
940,31Jan2000,1514,565
941,29Feb2000,2455,481
942,31Mar2000,2444,2154
943,30Apr2000,5432,4304
944,31May2000,11092,5849
945,30Jun2000,15886,8669
946,31Jul2000,17757,8996
947,31Aug2000,12941,8381
948,30Sep2000,6362,7041
949,31Oct2000,3601,5883
950,30Nov2000,2915,6070
951,31Dec2000,1754,4723
952,31Jan2001,1474,524
953,28Feb2001,2490,67
954,31Mar2001,1778,491
955,30Apr2001,3991,2576
956,31May2001,10509,3668
957,30Jun2001,13422,4588
958,31Jul2001,14073,4658
959,31Aug2001,11059,4003
960,30Sep2001,5393,3046
961,31Oct2001,3641,3019
962,30Nov2001,2149,2837
963,31Dec2001,1110,1925
964,31Jan2002,1042,709
965,28Feb2002,1919,516
966,31Mar2002,2371,657
967,30Apr2002,5920,4262
968,31May2002,10783,4385
969,30Jun2002,15095,6294
970,31Jul2002,15689,6142
971,31Aug2002,12311,5358
972,30Sep2002,6156,4527
973,31Oct2002,4265,4729
974,30Nov2002,2630,4010
975,31Dec2002,1331,2884
976,31Jan2003,1282,1243
977,28Feb2003,2164,749
978,31Mar2003,2364,1426
979,30Apr2003,4336,3535
980,31May2003,10649,3943
981,30Jun2003,15508,4775
982,31Jul2003,16705,8716
983,31Aug2003,12065,7323
984,30Sep2003,6474,6197
