A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
212,31May1939,8216,3995
213,30Jun1939,11979,6086
214,31Jul1939,11644,6701
215,31Aug1939,9929,5170
216,30Sep1939,4539,3601
217,31Oct1939,3455,3964
218,30Nov1939,2178,3790
219,31Dec1939,1467,4082
220,31Jan1940,1503,280
221,29Feb1940,1893,201
222,31Mar1940,2140,565
223,30Apr1940,7256,4494
224,31May1940,8673,6647
225,30Jun1940,13369,8645
226,31Jul1940,13459,8843
227,31Aug1940,10847,8676
228,30Sep1940,5544,7366
229,31Oct1940,4036,6345
230,30Nov1940,2307,6258
231,31Dec1940,1407,4780
232,31Jan1941,1372,410
233,28Feb1941,1828,1862
234,31Mar1941,2919,2694
235,30Apr1941,6341,4839
236,31May1941,10027,7537
237,30Jun1941,16700,9863
238,31Jul1941,17443,9907
239,31Aug1941,13925,9525
240,30Sep1941,6720,8046
241,31Oct1941,4598,7013
242,30Nov1941,2759,7022
243,31Dec1941,1933,5629
244,31Jan1942,2216,2169
245,28Feb1942,2859,1590
246,31Mar1942,3139,2273
247,30Apr1942,6728,3969
248,31May1942,10979,6456
249,30Jun1942,17479,8674
250,31Jul1942,18130,8641
251,31Aug1942,13178,8549
252,30Sep1942,6842,6956
253,31Oct1942,5074,6621
254,30Nov1942,2787,5921
255,31Dec1942,2077,4893
256,31Jan1943,2405,525
257,28Feb1943,3097,1279
258,31Mar1943,2758,1880
259,30Apr1943,7450,5417
260,31May1943,10594,8121
261,30Jun1943,14892,9943
262,31Jul1943,15363,9955
263,31Aug1943,12356,9573
264,30Sep1943,6140,8200
265,31Oct1943,4737,7199
266,30Nov1943,2655,3553
267,31Dec1943,1758,5829
268,31Jan1944,1833,624
269,29Feb1944,2312,156
270,31Mar1944,2179,308
271,30Apr1944,7552,2421
272,31May1944,8220,4288
273,30Jun1944,11915,6294
274,31Jul1944,12057,6968
275,31Aug1944,9858,6151
276,30Sep1944,5073,5150
277,31Oct1944,3899,3277
278,30Nov1944,1948,2783
279,31Dec1944,1324,2384
280,31Jan1945,1083,446
281,28Feb1945,1447,279
282,31Mar1945,2172,1490
283,30Apr1945,7931,5704
284,31May1945,8604,6993
285,30Jun1945,12590,8863
286,31Jul1945,13216,8952
287,31Aug1945,10729,8760
288,30Sep1945,5492,7415
289,31Oct1945,3722,6464
290,30Nov1945,2295,6371
291,31Dec1945,1367,5166
292,31Jan1946,1401,2089
293,28Feb1946,1753,947
294,31Mar1946,2812,1362
295,30Apr1946,10004,4672
296,31May1946,10638,6164
297,30Jun1946,14958,7982
298,31Jul1946,15216,8311
299,31Aug1946,11988,8276
300,30Sep1946,6034,6876
301,31Oct1946,4658,6294
302,30Nov1946,2529,5721
303,31Dec1946,1743,4662
304,31Jan1947,1991,812
305,28Feb1947,2441,172
306,31Mar1947,1847,276
307,30Apr1947,7902,3185
308,31May1947,9249,4587
309,30Jun1947,12149,6480
310,31Jul1947,13039,7651
311,31Aug1947,10567,6958
312,30Sep1947,5390,6047
313,31Oct1947,3703,3305
314,30Nov1947,2256,2926
315,31Dec1947,1445,2579
316,31Jan1948,1374,261
317,29Feb1948,1672,198
318,31Mar1948,1764,226
319,30Apr1948,3819,1176
320,31May1948,7007,5975
321,30Jun1948,11457,8876
322,31Jul1948,12295,9772
323,31Aug1948,10032,9397
324,30Sep1948,5007,7880
325,31Oct1948,4029,7094
326,30Nov1948,2214,6354
327,31Dec1948,1229,5167
328,31Jan1949,1088,756
329,28Feb1949,1403,159
330,31Mar1949,2484,193
331,30Apr1949,8437,2321
332,31May1949,9607,3685
333,30Jun1949,14408,5258
334,31Jul1949,14671,5639
335,31Aug1949,11792,4897
336,30Sep1949,5866,4106
337,31Oct1949,4704,3092
338,30Nov1949,2500,2290
339,31Dec1949,1714,1946
340,31Jan1950,1683,328
341,28Feb1950,2215,193
342,31Mar1950,2341,354
343,30Apr1950,8520,5455
344,31May1950,9749,7090
345,30Jun1950,13255,8722
346,31Jul1950,13358,8757
347,31Aug1950,10817,8550
348,30Sep1950,5303,7140
349,31Oct1950,3761,6288
350,30Nov1950,2263,6280
351,31Dec1950,1402,5166
352,31Jan1951,1374,2500
353,28Feb1951,1831,2029
354,31Mar1951,2875,2636
355,30Apr1951,9672,5567
356,31May1951,9831,6747
357,30Jun1951,15248,8844
358,31Jul1951,15323,8807
359,31Aug1951,10974,8759
360,30Sep1951,6202,7178
361,31Oct1951,4204,6211
362,30Nov1951,2429,6231
363,31Dec1951,1736,5125
364,31Jan1952,1899,1855
365,29Feb1952,2387,1861
366,31Mar1952,3240,2502
367,30Apr1952,9319,5123
368,31May1952,12185,8515
369,30Jun1952,16760,10176
370,31Jul1952,18273,10262
371,31Aug1952,14560,9919
372,30Sep1952,6859,8441
373,31Oct1952,5273,8301
374,30Nov1952,2891,6552
375,31Dec1952,2106,6905
376,31Jan1953,2520,1500
377,28Feb1953,3243,418
378,31Mar1953,2584,582
379,30Apr1953,7759,3551
380,31May1953,9670,5090
381,30Jun1953,13715,7787
382,31Jul1953,14344,9127
383,31Aug1953,11126,8624
384,30Sep1953,5826,7509
385,31Oct1953,4560,6026
386,30Nov1953,2322,5377
387,31Dec1953,1709,4623
388,31Jan1954,1570,632
389,28Feb1954,2073,311
390,31Mar1954,2376,514
391,30Apr1954,6820,3398
392,31May1954,9839,6121
393,30Jun1954,13769,8336
394,31Jul1954,13119,9180
395,31Aug1954,10280,8887
396,30Sep1954,5771,7527
397,31Oct1954,4613,6631
398,30Nov1954,2226,5667
399,31Dec1954,1545,4716
400,31Jan1955,1521,673
401,28Feb1955,1938,228
402,31Mar1955,3038,502
403,30Apr1955,8390,2336
404,31May1955,10214,4632
405,30Jun1955,14167,6542
406,31Jul1955,14397,7370
407,31Aug1955,11579,6775
408,30Sep1955,5482,5613
409,31Oct1955,4405,4350
410,30Nov1955,2332,3767
411,31Dec1955,1549,2786
412,31Jan1956,1629,1953
413,29Feb1956,2078,2215
414,31Mar1956,3473,3086
415,30Apr1956,9774,6012
416,31May1956,10753,7386
417,30Jun1956,16418,9528
418,31Jul1956,17413,9596
419,31Aug1956,12168,9338
420,30Sep1956,6452,7696
421,31Oct1956,4560,7040
422,30Nov1956,3030,7155
423,31Dec1956,2248,6034
424,31Jan1957,2307,613
425,28Feb1957,2974,225
426,31Mar1957,2496,353
427,30Apr1957,8029,3803
428,31May1957,8819,4435
429,30Jun1957,13462,7018
430,31Jul1957,12724,7976
431,31Aug1957,10734,7523
432,30Sep1957,4685,5353
433,31Oct1957,3785,4419
434,30Nov1957,2505,4610
435,31Dec1957,1486,3624
436,31Jan1958,1340,584
437,28Feb1958,1788,425
438,31Mar1958,3056,3196
439,30Apr1958,6893,5698
440,31May1958,11091,8466
441,30Jun1958,17238,10555
442,31Jul1958,18399,10719
443,31Aug1958,14767,10352
444,30Sep1958,6984,8595
445,31Oct1958,5249,8522
446,30Nov1958,3125,5564
447,31Dec1958,2295,7362
448,31Jan1959,2521,564
449,28Feb1959,3243,278
450,31Mar1959,2414,581
451,30Apr1959,9233,4233
452,31May1959,9784,4999
453,30Jun1959,13082,6701
454,31Jul1959,12319,8651
455,31Aug1959,10375,8247
456,30Sep1959,4547,6242
457,31Oct1959,4430,5952
458,30Nov1959,2526,5230
459,31Dec1959,1495,4188
460,31Jan1960,1358,548
461,29Feb1960,1748,155
462,31Mar1960,2156,201
463,30Apr1960,7661,2135
464,31May1960,8550,4314
465,30Jun1960,12509,6410
466,31Jul1960,12388,7015
467,31Aug1960,10087,6241
468,30Sep1960,5160,5223
469,31Oct1960,4208,4462
470,30Nov1960,1975,3704
471,31Dec1960,1413,3153
472,31Jan1961,1158,558
473,28Feb1961,1561,184
474,31Mar1961,2179,266
475,30Apr1961,7686,3305
476,31May1961,9048,4556
477,30Jun1961,12061,6452
478,31Jul1961,12337,7657
479,31Aug1961,10400,7244
480,30Sep1961,5219,6117
481,31Oct1961,4305,3725
482,30Nov1961,2140,3153
483,31Dec1961,1432,2806
484,31Jan1962,1293,267
485,28Feb1962,1682,200
486,31Mar1962,2271,549
487,30Apr1962,8572,4080
488,31May1962,9674,5569
489,30Jun1962,13220,7999
490,31Jul1962,13581,9084
491,31Aug1962,10957,8812
492,30Sep1962,5531,7471
493,31Oct1962,3833,5406
494,30Nov1962,2526,5718
495,31Dec1962,1525,4680
496,31Jan1963,1420,2385
497,28Feb1963,1887,1708
498,31Mar1963,2498,1838
499,30Apr1963,5584,3239
500,31May1963,9527,6445
501,30Jun1963,14612,8439
502,31Jul1963,14843,8509
503,31Aug1963,11971,8344
504,30Sep1963,5984,6750
505,31Oct1963,4184,5637
506,30Nov1963,2205,5404
507,31Dec1963,1800,4829
508,31Jan1964,1640,711
509,29Feb1964,2016,363
510,31Mar1964,2913,549
511,30Apr1964,9799,4436
512,31May1964,10044,4889
513,30Jun1964,13255,7260
514,31Jul1964,13875,8587
515,31Aug1964,10823,8255
516,30Sep1964,5467,6917
517,31Oct1964,4009,4128
518,30Nov1964,2245,4709
519,31Dec1964,1532,4474
520,31Jan1965,1522,572
521,28Feb1965,2018,748
522,31Mar1965,2581,1458
523,30Apr1965,6916,4215
524,31May1965,10714,6829
525,30Jun1965,14972,8380
526,31Jul1965,15339,8555
527,31Aug1965,11445,8140
528,30Sep1965,6115,7073
529,31Oct1965,4831,6764
530,30Nov1965,2279,5733
531,31Dec1965,1809,5034
532,31Jan1966,1825,835
533,28Feb1966,2381,1795
534,31Mar1966,2722,2282
535,30Apr1966,9326,5413
536,31May1966,10632,6486
537,30Jun1966,14499,7934
538,31Jul1966,14829,7989
539,31Aug1966,11924,7975
540,30Sep1966,5908,6576
541,31Oct1966,4688,6119
542,30Nov1966,2304,5027
543,31Dec1966,1714,4418
544,31Jan1967,1773,254
