A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
925,31Oct1998,4944,7988
926,30Nov1998,2823,7485
927,31Dec1998,2323,7104
928,31Jan1999,2530,2141
929,28Feb1999,3244,434
930,31Mar1999,2509,1185
931,30Apr1999,8075,4539
932,31May1999,10403,6517
933,30Jun1999,14174,7985
934,31Jul1999,14921,8415
935,31Aug1999,11924,8340
936,30Sep1999,5862,6991
937,31Oct1999,4546,6357
938,30Nov1999,2379,5777
939,31Dec1999,1819,5111
940,31Jan2000,1742,538
941,29Feb2000,2205,309
942,31Mar2000,2540,1984
943,30Apr2000,7863,4895
944,31May2000,9421,6922
945,30Jun2000,14586,8765
946,31Jul2000,14669,8886
947,31Aug2000,11169,8742
948,30Sep2000,5837,7147
949,31Oct2000,3972,6082
950,30Nov2000,2560,6280
951,31Dec2000,1829,5423
952,31Jan2001,1782,618
953,28Feb2001,2332,158
954,31Mar2001,2407,224
955,30Apr2001,7699,2112
956,31May2001,10006,4146
957,30Jun2001,13491,5345
958,31Jul2001,13950,5794
959,31Aug2001,11256,5030
960,30Sep2001,5451,4038
961,31Oct2001,4280,1993
962,30Nov2001,2054,1295
963,31Dec2001,1480,1321
964,31Jan2002,1504,204
965,28Feb2002,1994,334
966,31Mar2002,2546,438
967,30Apr2002,9558,5461
968,31May2002,9182,6061
969,30Jun2002,13414,8294
970,31Jul2002,13562,8654
971,31Aug2002,10995,8557
972,30Sep2002,5614,5375
973,31Oct2002,4575,3932
974,30Nov2002,2339,4938
975,31Dec2002,1464,4980
976,31Jan2003,1458,750
977,28Feb2003,1933,423
978,31Mar2003,2459,527
979,30Apr2003,6339,3112
980,31May2003,9140,4990
981,30Jun2003,14519,7893
982,31Jul2003,14652,9078
983,31Aug2003,11128,8497
984,30Sep2003,5938,7483
